                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.59225,                0.50656,                 1.0021,                0.99623,                0.98575,                0.99436,                0.90092,                0.48187,                0.37118,                0.86164,              0.0004387,              0.0004387,              0.0004387
                     52,                 0.5853,                0.50108,                 1.0019,                0.99576,                0.98974,                0.99466,                0.90184,                0.47963,                0.37201,                0.85965,             0.00041849,             0.00041849,             0.00041849
                     53,                0.58022,                0.51925,                0.99437,                0.99586,                0.99007,                0.99447,                 0.9045,                 0.4854,                0.36985,                0.86498,             0.00039828,             0.00039828,             0.00039828
                     54,                0.57497,                0.48211,                0.98828,                0.97699,                0.98371,                0.99378,                0.90268,                 0.4537,                 0.3782,                0.85413,             0.00037807,             0.00037807,             0.00037807
                     55,                0.57469,                0.48824,                0.99115,                0.98813,                0.99559,                0.99484,                0.89287,                0.51619,                0.36749,                0.88012,             0.00035786,             0.00035786,             0.00035786
                     56,                0.58681,                0.49612,                 1.0042,                0.99266,                0.98945,                0.99482,                 0.9131,                0.44977,                0.35552,                0.85384,             0.00033765,             0.00033765,             0.00033765
                     57,                0.56821,                0.49906,                0.98848,                0.99727,                0.99745,                0.99495,                0.91357,                0.45356,                0.34702,                0.85356,             0.00031744,             0.00031744,             0.00031744
                     58,                 0.5958,                0.49615,                 1.0027,                0.98883,                0.99707,                0.99489,                 0.9148,                 0.4573,                0.34857,                0.85185,             0.00029723,             0.00029723,             0.00029723
                     59,                0.57147,                0.45956,                0.99797,                 0.9937,                0.99509,                0.99495,                0.90927,                0.47644,                0.35688,                0.85871,             0.00027702,             0.00027702,             0.00027702
                     60,                 0.5677,                0.46922,                 0.9952,                0.99544,                0.99489,                0.99495,                0.90604,                0.47743,                0.35851,                 0.8589,             0.00025681,             0.00025681,             0.00025681
                     61,                0.41952,                0.44446,                0.92904,                0.99689,                0.98414,                0.99424,                0.91291,                0.44874,                0.38901,                0.84705,              0.0002366,              0.0002366,              0.0002366
                     62,                0.38641,                0.37753,                0.92772,                0.99298,                0.99017,                0.99449,                 0.9012,                0.47679,                0.38528,                0.85927,             0.00021639,             0.00021639,             0.00021639
                     63,                0.39059,                0.35755,                0.91779,                0.99397,                0.99038,                0.99478,                0.91343,                0.44763,                0.37169,                0.84594,             0.00019618,             0.00019618,             0.00019618
                     64,                0.37894,                0.33963,                 0.9011,                0.99647,                0.99542,                0.99495,                0.91131,                0.44935,                0.35797,                0.84841,             0.00017597,             0.00017597,             0.00017597
                     65,                0.38298,                0.31944,                0.91658,                0.99435,                0.99629,                0.99495,                0.91689,                0.44602,                0.36536,                0.84638,             0.00015576,             0.00015576,             0.00015576
                     66,                0.38379,                0.31625,                0.91459,                0.99582,                0.99744,                0.99495,                 0.9154,                0.43628,                0.33693,                0.84408,             0.00013555,             0.00013555,             0.00013555
                     67,                0.37302,                0.29593,                0.90352,                0.99684,                0.99487,                0.99497,                0.91841,                0.42459,                0.31757,                0.84194,             0.00011534,             0.00011534,             0.00011534
                     68,                0.37309,                 0.2959,                0.89255,                0.99688,                0.99487,                0.99497,                0.92063,                0.42111,                0.30988,                0.83904,             9.5131e-05,             9.5131e-05,             9.5131e-05
                     69,                0.35423,                0.28633,                0.90729,                0.99662,                0.99463,                0.99495,                0.92158,                0.42006,                0.31257,                 0.8364,              7.492e-05,              7.492e-05,              7.492e-05
                     70,                0.35392,                0.27898,                0.90487,                0.99657,                0.99478,                0.99448,                0.92247,                0.42261,                0.31814,                0.83739,              5.471e-05,              5.471e-05,              5.471e-05
